Conference,Papers,Security and privacy,Computing methodologies,Information systems,Networks,Human-centered computing,Computer systems organization,Software and its engineering,Theory of computation,Social and professional topics,General and reference,Applied computing,AvgDom,P50,P90
ACSAC,162,161,49,10,12,11,12,0,2,0,0,2,1.6,2,2
CCS,493,491,128,40,28,26,17,24,10,10,6,2,1.59,1,2
NDSS,89,89,21,11,9,4,6,5,2,1,0,0,1.66,2,3
SP,427,427,122,60,25,28,27,19,6,2,2,3,1.69,2,3
USENIX,72,72,14,5,2,1,0,2,2,0,0,0,1.36,1,2
Total,1243,1240,334,126,76,70,62,50,22,13,8,7,,,
